ts,interval,angle,angular_velocity,cart_friction,cart_x,cart_velocity,impulse,input_left,input_right
1687224149.0284524,0.0020833333333333333,-0.06726391766903377,-1.4617619539082005,0.0,2.385723371519134,10.639169755068478,0.0,False,False
1687224149.0442054,0.0020833333333333333,-0.07029945959069929,-1.4570601223994517,0.0,2.407888308508859,10.601049801152934,0.0,False,False
1687224149.0613816,0.0020833333333333333,-0.07332476562030159,-1.4521468942091031,0.0,2.4299738289279276,10.561317333127212,0.0,False,False
1687224149.0781486,0.0020833333333333333,-0.07633939695984986,-1.4470230429831688,0.0,2.451976573371894,10.519981561009404,0.0,False,False
1687224149.0953844,0.0020833333333333333,-0.07934291649033041,-1.441689374630668,0.0,2.473893201624037,10.477052032513805,0.0,False,False
1687224149.1111355,0.0020833333333333333,-0.08233488883848841,-1.436146727115839,0.0,2.495720393358397,10.43253862683272,0.0,False,False
1687224149.1289167,0.0020833333333333333,-0.08531488044317037,-1.43039597024734,0.0,2.517454848830994,10.386451548237975,0.0,False,False
1687224149.1450887,0.0020833333333333333,-0.08828245962120214,-1.4244380054552486,0.0,2.53909328955649,10.338801319510221,0.0,False,False
1687224149.1615279,0.0020833333333333333,-0.09123719663279944,-1.4182737655667066,0.0,2.5606324589721225,10.289598775204245,0.0,False,False
1687224149.178656,0.0020833333333333333,-0.09417866374649014,-1.4119042145715355,0.0,2.5820691230870807,10.23885505475876,0.0,False,False
1687224149.1947682,0.0020833333333333333,-0.09710643530353788,-1.4053303473829137,0.0,2.6034000711177896,10.186581595459195,0.0,False,False
1687224149.2231522,0.0020833333333333333,-0.10002008778185287,-1.398553189591194,0.0,2.6246221161082985,10.132790125262272,0.0,False,False
1687224149.2398477,0.0020833333333333333,-0.10291919985937936,-1.3915737972127173,0.0,2.645732095535891,10.077492655491167,0.0,False,False
1687224149.2572374,0.0020833333333333333,-0.10580335247694586,-1.3843932564319195,0.0,2.66672687190146,10.02070147341029,0.0,False,False
1687224149.272648,0.0020833333333333333,-0.10867212890056678,-1.3770126833380414,0.0,2.6876033333044234,9.962429134688714,0.0,False,False
